source,url,text
"ABC News 
",http://abcnews.go.com/Politics/obama-hits-trump-reality-show-past-win-presidency/story?id=36986828," -- 
PresidentObamasaid today that he does not believe GOP frontrunnerDonald Trumpwill make it to the White House, but the real estate mogul took the remark as a compliment, saying Obama has done a ""lousy job."" ""I continue to believe Mr. Trump will not be president,"" Obama said while speaking at a press conference in Rancho Mirage, California. ""And the reason is because I have a lot of faith in the American people."" Obama told reporters he believed Americans still see the presidency as ""a serious job."" “It’s not hosting a talk show, or a reality show. It’s not promotion, it’s not marketing,” Obama said. “It’s hard and a lot of people count on us getting it right.” Obama did not, however, answer whether he believed Trump was capable of securingthe GOPnomination. The president also took a shot at the rest of the GOP field, saying “foreign observers are troubled” by the GOP's rhetoric, specifically the doubting ofclimate changeand proposals to banMuslimsfrom entering the U.S. Trump, speaking at a campaign event in South Carolina, immediately hit back, saying Obama is doing a ""lousy job."" ""He has set us back so far, and for him to actually say that is a great compliment, if you want to know the truth,"" Trump said. 24/7 coverage of breaking news and live events"
"ABC News 
",http://abcnews.go.com/Politics/justice-antonin-scalias-health-woes-publicly-disclosed-death/story?id=36975416," -- 
Even though the relatives and doctors of the late Supreme Court JusticeAntonin Scaliareportedly knew about his health conditions, the fact that the concerns were kept from the public is in keeping with the practices of the court, experts said. Unlike the White House, which regularly releases updates on the president's health, the Supreme Court does not have set guidelines regarding what they do and don't disclose publicly. When the 79-year-old justice wasfound dead on Saturdayin a hotel room at a luxury ranch in Texas, the county's presiding judge, Cinderella Guevara, was called and pronounced him dead. Guevara said she spoke to Scalia's doctor in Washington who told her that Scalia had been sick and had visited his office twice during the week leading up to the trip. The Associated Press reported that Guevara said the doctor told her that Scalia had a history of high blood pressure, heart trouble and was considered too weak to undergo shoulder surgery following a recent injury. Guevara told ABC News that the death certificate will say that he died of natural causes with myocardial infarction, better known as a heart attack, being a contributing factor. Dr. Sahil Parikh, an interventional cardiologist at University Hospitals Case Medical Center, never treated Scalia but said that even without knowing his specific family history, there are certain clear factors that may have contributed. Parikh said that two significant risk factors for heart disease are an individual’s age and gender, with men over 55 years old being the most at-risk group. “He clearly has some risk factors for heart disease and as those increase in number, so does your risk for having a coronary event,” Parikh told ABC News. Even though it appears that nothing had been released recently by the Supreme Court about Justice Scalia's health, there have been other disclosures made about different members of the bench. JusticeRuth Bader Ginsburg, who is now 82, has had cancer twice and made disclosures in both cases. Kate Shaw, an ABC News contributor and an assistant professor of law at the Benjamin N. Cardozo School of Law in New York, said that Ginsburg has been ""very forthcoming"" with regards to her health. Ginsburg released a statement in November 2014 saying that she was going to have a heart stent implanted. ""The procedure went smoothly, and she did not miss a single day of oral arguments,"" Shaw said. Shaw also pointed out that the court released a statement after ChiefJustice John Robertssuffered a seizure in 2007. The disclosures, when they come, typically are made after an official prognosis by a doctor. ""When Chief Justice Rehnquist was diagnosed with thyroid cancer in October 2004, the Supreme Court's public information office announced the diagnosis, and further announced that he would be undergoing radiation and chemotherapy,"" Shaw said. ""He returned to the bench in March of 2005, and when he declined to announce his retirement at the end of that term -- Justice O’Connor instead announced her retirement -- the assumption was that Chief Justice Rehnquist was in good health and would continue serving,"" Shaw said. ""But his health rapidly declined in July and August, and he died on Sept. 3, 2005, creating a second vacancy for President Bush to fill."" According to a report compiled by the Congressional Research Service, 41% of the Supreme Court vacancies that occurred in the first half of the 20th century were a result of a justice dying while in office. Since then, however, Rehnquist's death was the only one for a sitting Justice since 1954, the report states. 24/7 coverage of breaking news and live events"
CNN Network,http://sponsorcontent.cnn.com/interactive/cinemax_theknick/,"“Everything that needs to be said hasalready been said, but since no one waslistening, everything must be said again.” “Everything that needs to be said has already been said, but since no one was listening, everything must be said again.” Progress is made not only by looking to the future, but by learning from the past. In a world so technologically advanced that heart rates are shared with the flick of a wristband and doctors can identify disease through a single gene, mankind is still faced with the fundamental questions of how do you end pain, postpone death and create a better life. Season two of CinemaxâsThe Knickspotlights a range of social issues that existed in America during the 1900's. These social conflicts, which were prominent in New York City at the turn of the last century, still remain an issue today. “It is not you alone, nor I alone;Not a few races, nor a few generations, nor a few centuries;It is that each came, or comes, or shall come.” “It is not you alone, nor I alone; Not a few races, nor a few generations, nor a few centuries; It is that each came, or comes, or shall come.” The turn of the 20th century saw one of the largest movements of humanity in the history of the world. In the 30 years between 1892 and 1924, 14 million people passed through New York City's Ellis Island to enter the United States. Often carrying just a single bag on their back, immigrants were absorbed into a rapidly industrializing society. In 2014, nearly 60 million people were forcibly displaced worldwide. If these refugees, internally displaced persons and asylum seekers were to make up a nation, it would be larger than South Africa and slightly smaller than Italy. One hundred years ago, immigrants crossed the Atlantic Ocean in the hopes of finding opportunity in the New World. Today, though the destinations may have changed, the search for a new beginning remains. Whether itâs the pull of progress, the promise of peace or the simple need to survive, more people are moving today than ever recorded. Every two seconds someone is forced from their home because of conflict or persecution. The largest refugee crisis since World War II is sweeping the globe as hundreds of thousands of people flee war-torn and impoverished countries searching for a better life in Western Europe. A century ago, over 70 percent of immigrants coming to America were from Eastern and Southern Europe. Once they arrived at Ellis Island they were herded into a temporary reception hall to be tested for disease. Although the organized process has changed, the stories from now look strikingly similar to the stories of then. Photojournalist Pete Kiehart has been documenting refugees as they encountered an abruptly-closed border between Serbia and Hungary, crossed through dusty fields into Croatia, and arrived in Austria where some plan to settle. Left:Arriving at Ellis IslandRight:Migrants walk through cornfields west of Sid, Serbia towards the Croatian town of Tovarnik on September 17, 2015. Left:June 8, 1903: The S.S. Batavia carried 2,584 immigrants to Ellis Island. This ship set a record for the greatest number of passengers to arrive at New York City at one time.Right:Migrants plead for family members to be added to their buses, which are heading west, on September 18, 2015 in Tovarnik, Croatia. Left:Aug 13, 1925: An immigrant family on the dock at Ellis Island just after passing rigid examination for entry into the âland of promiseâ looking hopefully at New Yorkâs skyline while awaiting the government ferry to carry them to the land of the free.Right:Migrants walk through fields, circumventing official checkpoints, from the Serbian to the Croatian border on September 17, 2015. Left:1902-1913: Uncle Sam hosts immigrants being served a free meal at Ellis Island.Right:Migrants receive food as they wait at the Slovenian border on September 20, 2015 near Hegyeshalom, Hungary. Left:A small boat carrying aliens to Ellis Island. Sometimes the number of immigrants waiting to be transferred was so great that they waited for several days and nights before the little ferry boat could bring them to land.Right:A migrant walks west of Sid, Serbia towards the Croatian town of Tovarnik on September 17, 2015. After being bussed to the border, migrants were directed by aid workers and police on a route that circumvented the official checkpoints of both nations. Left:1902-1913 The pens at Ellis Island, main hall full of people who have passed the first mental inspection.Right:Thousands of people wait in line to catch buses and taxis to Nickelsdorf, Austria where they will board trains bound for Vienna on September 20, 2015 near Hegyeshalom, Hungary. After walking from the nearby town's train station migrants waited for hours in this transit zone parking lot. There are more refugees in the world today than ever recorded and more than half of them are children. In 2014, 19.5 million people were forced to leave their homeland because of war, persecution or natural disaster. Whether it be a painting or photograph,the picture is a symbol that brings oneimmediately into close touch with reality Whether it be a painting or photograph, the picture is a symbol that brings one immediately into close touch with reality Although a century has passed since the first immigrants landed on Ellis Island, the United States remains a destination for over 121,000 people who applied for asylum or refugee status in 2014. Capturing the faces of Ellis Island in the early 1900âs, photographer and sociologist Lewis Hine pushed for social reform through his images of newly arrived immigrants into New York. Today, photojournalist Danny Ghitis captures the stories of those who have left their homelands, and now call New York home. Thierno Giallo, 24, arrived from Conakry,Guinea in 2012 Italian child finds her first penny atEllis Island Reena Mohammad, 57, fled Pakistan and received asylumin 2013 A Fisherman stowaway atEllis Island An Albanian woman firom Italy atEllis Island Julian Sanjivan, 33, from Kuala Lumpur, Malaysia received asylumin April 2015 Armenian Jew atEllis Island Khalid Al Shok, 9, fled Iraq with his familyin December 2013 I hope, father, the new Knick will still have a placefor the poor in its beds. So many immigrantscoming in, a great number of them sick when theyget off the boat... You know the Inspectors can'tcatch them all I hope, father, the new Knick will still have a place for the poor in its beds. So many immigrants coming in, a great number of them sick when they get off the boat... You know the Inspectors can't catch them all Men pass away like falling walls!Deaths in one day are numberless,The hazy sun is covered by sombre clouds. Men pass away like falling walls! Deaths in one day are numberless, The hazy sun is covered by sombre clouds. The largest outbreak of the Ebola virus began in West Africa in 2014, unleashing a wave of fear across the globe. The outbreak lead to a worldwide mobilization to stop the spread of the disease. The death toll from Ebola as of September 22, 2015 stands at 11,311 with 28,355 reported cases. More than a century earlier, a similar global effort brought an end to the largest outbreak of the Bubonic Plague, which began in China and spread to nearly every continent. The Bubonic plague ultimately claimed the lives of 13 million people. Paralleled alongside never before published photos of the Bubonic Plague from the Burns Archive are Getty Images Reportage photographer Daniel Berehulak's photos from his coverage of Ebola in Liberia. Marie Raedd is carried by health workers wearing protective clothing, into an ambulance to be taken with her mother to an Ebola treatment center in Monrovia on October 01, 2014. A Liberian Red Cross burial team wearing protective clothing are disinfected on August 28, 2014 in Monrovia, Liberia. The center, a closed primary school originally built by USAID, was being used to temporarily isolate people suspected of carrying the virus. Doctor Steven Hatch, 45, dressed in protective clothing, draws blood from a patient suspected of having Ebola, to be sent to a mobile testing laboratory for an Ebola test, as he works in the high-risk suspected ward at the Bong County Ebola Treatment Unit, on October 6, 2014 in Suakoku near Gbarnga in Bong County, Liberia. The blood samples are collected from patients and sent to a US navy mobile testing laboratory based at Cuttington University, being used for Ebola testing. The Bubonic Plague slowly traveled for over 100 years spreading panic from British India, where quarantine measures provoked uprisings against colonial rule, to Hawaii where troops enforced a quarantine and torched infected buildings, all the way to San Francisco's Chinatown. The explosive outbreak of Ebola in 2014 generated a similar fear on a much shorter timeframe. Starting in Guinea, the virus quickly spread to surrounding countries, and within six months had reached the U.S. and Europe. Starting in south central China in the 1850's, it reached the international hub of Hong Kong by 1894. Commercial ships carrying rats harboring infected fleas spread the plague until it reached San Franciscoâs Chinatown in 1900. This marked the first ever plague epidemic in the United States. The most common form of plague in humans, characterized by fever, delirium, and the formation of buboes. The outbreak of Ebola in 2014 began in West Africa, before being carried to Europe and the United States by returning aid workers. The U.S. saw four confirmed cases; one led to death. Today, Ebola remains a localized issue with the disease still present in Guinea and Sierra Leone. An infectious and generally fatal disease marked by fever and severe internal bleeding, spread through contact with infected body. “Doctors 100 years ago, 200 years ago, 300 and in the past, were just as smart, just as brilliant, just as innovative as doctors are today. They worked to help and heal their patients. However, they labored under inferior knowledge and technology, and I guarantee you that 100 years from now people will look at what we're doing with the same scant eye.”— Stanley Burns, MD, FACS The Plague - With Historian Dr. Stanley B. BurnsfromCourageous StudioonVimeo. Plague is carried by rats and fleas, you think your wooden barriers arekeeping them inside? Dr.Feng just said there are no new cases.There's no need for quarantine. Plague is carried by rats and fleas, you think your wooden barriers are keeping them inside? Dr.Feng just said there are no new cases. There's no need for quarantine. “What a fearful thing is ignorance.” “What a fearful thing is ignorance.” Throughout history, the medical world has constantly searched for new ways to numb pain. In the late 19th century, cocaine was discovered in medicine and first used as a form of local anesthetic.This new drug allowed doctors to perform surgeries that had never been tried before. Physicians soon saw that with the benefits came a long list of side effects including addiction. What was once an open market for cocaine and cocaine-infused products came to an end in 1914 as the federal government stopped the unregulated sale of the drug. The need to find innovative ways to dull pain continues today. In 1996, California allowed medical marijuana to be prescribed by doctors, opening up the opportunity for this controlled substance to bring relief to patients. Since then, 22 states have followed. On January 1, 2016, New York will become the next state to allow the sale of medical marijuana. In the early 1900âs the U.S. imported between 600 and 1000 metric tons a year of raw cocaine in the form of coca. It was sold in a variety of tonics, elixirs and over-the-counter products. It was used to treat ailments ranging from toothaches and chronic pain to shyness, and to break morphine addicts of their habit. Today, medical marijuana has been used to treat everything from multiple sclerosis and epilepsy, to chronic pain and the nausea that follows chemotherapy. Despite relaxed state laws, the federal government continues to regulate marijuana as a schedule-1 drug, making it illegal to grow, possess and use anywhere in the United States. A gram of cocaine could be bought for as little as in1904, which is the equivalent of roughly$6today. A gram of medical marijuana can be bought for about today. The U.S. legal cannibus market hit$2.7 billionin2014. At the turn of the 20th century cocaine was readily available for sale in pharmacies and was used in popular products such as soft drinks. With the use of medical marijuana becoming increasingly normalized across the United States, growers are seeing a rise in demand across the country. By the late 1880's cocaine use was widespread in the U.S. The eminent neurologist William Hammond was touting it in print and lectures, assuring audiences of its benefits as a surgical painkiller and a low-dosage pick-me-up that was no more addictive than coffee or tea. Druggist sold cocaine in cigarettes, cordials and soft drinks until 1900. By 1907, New York State had regulated cocaine, requiring a doctor's prescription. Dr. William Halstead was an early champion of the drug and its use in medicine. After many experiments both on patients and himself, he soon saw the side effects first hand as he suffered from addiction. Sweeping violence and addiction led to the federal Harrison Act regulating government cocaine in 1914, and by the late 1920's cocaine had fallen out of favor except among the wealthy, Bohemian crowd. Amphetamines and heroin became the drugs of choice as prohibition swept America in the 1920's, and cocaine disappeared until it surfaced again in the 1970's disco era. By the end of 2014, an estimated 2.4 million Americans were using marijuana for medical purposes. While New York City waits for its first medical marijuana dispensaries to open, just across the river in New Jersey patients are benefiting from its medical use. Marta Portuguez who suffers from gastroparesis, fibromyalgia and intractable spasticity, says she's constantly in severe pain. She's tried many different pharmaceutical solutions from narcotic painkillers to newer synthetic drugs. For Marta, those other drugs have not worked. Every few weeks Marta, with the help of one of her family members, leaves her home and purchases medical marijuana from a dispensary in New Jersey. Her husband Rafael said she will need to stay in bed for upwards of a week to recover from a day of activity. Do No Harm - A Story About Medical MarijuanafromCourageous StudioonVimeo. The complete, number one source of me notfeeling like I'm dying is this medication. The complete, number one source of me not feeling like I'm dying is this medication. We are a hospitalâ¦we need cocaine to exist. We are a hospitalâ¦we need cocaine to exist. Executive ProducerOtto Bell Design DirectorSean Brown Director and ProducerLuanne Dietz ProducerNicholas Brennan PhotographersPete Kiehart, Danny GhitisandDaniel Berman VideographersMark E. TrentandMichael Rubenstein Video EditorLeland James DesignersMark JensenandJennifer Wong Web DeveloperNozomi Ichihara Senior Operations ManagerNuna Charafeddine Reporting AssistantPeter S. Green Sources:United Nations High Commissioner for Refugees, U.S. Center for Disease ControlThe KnickSpecial thanks to Drug Policy Alliance, New York Public Library,The Burns Archive,International Rescue Committee,The Ansob Center for Refugees,Scholars at Risk,Hias, Margaret Metzger and Emmett Brennan."
NBC News Digital,http://www.nbcnews.com/video/this-designer-cuts-an-empowering-figure-709622339691?utm_source=taboola&utm_medium=referral,"Watch live: NY Gov. Andrew Cuomo holds coronavirus briefing  This content was paid for by an advertiser and created by the NBC News Brand Studio. The NBC News editorial organization was not involved in its creation or production. This content represents the views and opinions of the advertiser, who is responsible for all of the material contained therein. Links are not endorsements by NBC News. Fashion designer Becca McCharen draws her inspiration from forms in nature and architecture to build designs that empower the wearer. Her label, Chromat has taken the fashion world by storm and is trying to upend traditional conceptions of beauty and strength.June 21, 2016  © 2020 NBC UNIVERSAL"
NBC News Digital,http://www.nbcnews.com/video/baby-boomers-are-reimagining-their-next-steps-701550147527?utm_source=taboola&utm_medium=referral,"Watch live: NY Gov. Andrew Cuomo holds coronavirus briefing  This content was paid for by an advertiser and created by the NBC News Brand Studio. The NBC News editorial organization was not involved in its creation or production. This content represents the views and opinions of the advertiser, who is responsible for all of the material contained therein. Links are not endorsements by NBC News. Baby Boomers have reimagined everything from childcare to relationships. Now as they enter their next life stage they are reimagining that too.June 8, 2016  © 2020 NBC UNIVERSAL"
NBC News Digital,http://www.nbcnews.com/video/he-creates-furniture-inspired-by-the-principles-of-dance-723442755550?utm_source=taboola&utm_medium=referral,"Watch live: NY Gov. Andrew Cuomo holds coronavirus briefing  This content was paid for by an advertiser and created by the NBC News Brand Studio. The NBC News editorial organization was not involved in its creation or production. This content represents the views and opinions of the advertiser, who is responsible for all of the material contained therein. Links are not endorsements by NBC News. Elegance, beauty, fluidity - John Sorensen-Jolink learned the importance of these characteristics during his career as a dancer. Now, he's applying them to the unique furniture that he creates.July 12, 2016  © 2020 NBC UNIVERSAL"
CBS News,http://www.cbsnews.com/news/customizing-cancer-treatments-using-genomic-testing/,Watch CBSN Live Genomic tumor testing is a tool that devotes its' attention to studying a single individual to try and create more targeted therapies. This page was produced by the advertising department of CBSNews.com in collaboration with Cancer Treatment Centers of America. The news and editorial staff of CBSNews.com had no role in its preparation. Be in the know. Get the latest breaking news delivered straight to your inbox. Copyright © 2020 CBS Interactive Inc.All rights reserved.
USA Today ,http://www.usatoday.com/story/money/personalfinance/2015/11/03/retiring-75-becoming-new-norm/75090832/,"For the vast majority of Americans, the career ""finish line"" is hitting a retirement number and being able to retire on their own terms. In reality, though, hitting the finish line is getting increasingly tough. Instead of the road to retirement being a straight line from Point A to B, it's often filled with twists and turns. Unexpected expenses and other rising costs are making the trek to retirement quite the challenge, according to NerdWallet's2015 New Grad Retirement Report. Based on three key findings, the graduating class of 2015 faces the very real possibility that they may not retire until the age of 75. By comparison, the average retirement age today is 62. How retiring at 75 could become a realityWhat's pushing Millenials to work until the ripe age of 75? The first big issue is the growing amount of student debt today's graduates are dealing with. Average student debt these days is $35,051, up from $29,400 just three years prior, while starting wages are up only around $1,200 since 2012. With college becoming more of a requirement than an exception to land a job where economic advancement is possible, college tuitions have been rising at a pace that's vastly outpacing wage growth and inflation. The result is more than $1.2 trillion in cumulative student loan debt. According to NerdWallet, the average student loan repayment plan was 10 years, amounting to $4,239 being repaid annually (including interest payments). All told, NerdWallet suggests that repaying student loans could reduce 2015 grads' nest eggs by nearly a third, reducing their lifetime investment-earning potential by more than $684,000 over a 50-year period. Since 2012 the amount in lost retirement savings has jumped by almost $124,000. In other words, instead of investing their savings and compounding their gains over time, grads will instead be diverting their money early in their working years (where it can be of the biggest benefit over the long run) to paying back student debt. The second big issue is that rents are rising across the nation at a much quicker pace than wages. NerdWallet notes that rent prices across the U.S. are up 11% since 2012. Rising rent prices mean recent grads need to apportion an ever-greater amount of their salaries to covering basic expenses. This leaves less money for investing, and it means a potentially longer wait to retire. Lastly, NerdWallet pinpoints a lack of trust in Wall Street and skittishness toward investing as a reason why this year's grads may have to wait until age 75 to retire. The effects of the Great Recession still ring true with today's Millennials, meaning many are holding far more in cash than they should be. The result is that average annual investment returns are expected to be down, and it could take extra years for investors with a more conservative approach to reach their retirement number. NerdWallet estimates suggest that today's grads may still be able to retire at 62, but they'd need to save 20% of their income annually and invest it as opposed to the roughly 6% that they're saving and investing today. Change what we can controlLet's face it, we can't change what we can't control. College costs aren't likely to drop anytime soon with the importance of a college education growing, and rent prices may strengthen further as interest rates rise and potential homebuyers back away from paying higher mortgage rates. Some costs are simply beyond the control of today's grads. However, there are steps to be taken that could save grads money and help them do more with what they save. NerdWallet has a couple of great suggestions, including living at home for as long as is reasonable in order to save on rent costs, as well as maximizing a 401(k) match through your employer. You certainly don't want to leave free money on the table, and should almost always consider contributing at least up to the donation match in your employer-sponsored retirement plan. But there are plenty of other suggestions that could prove valuable. For instance, how you save can make a big difference come retirement. Investing in a traditional brokerage account can expose you to taxes each and every time you sell a stock, option, or mutual fund. Although long-term capital gains taxes can be 0% for low-income individuals, you're more likely to wind up paying 15% or 20% in long-term capital gains taxes when selling long-term assets in your brokerage account. You can completely eliminate taxes by opening up and contributing to a Roth IRA. A Roth IRA allows your money to grow tax-free over your lifetime, there are no required minimum distributions beginning in the year you turn 70 1/2 like its counterpart the Traditional IRA, and there's no point at which you are no longer allowed to contribute to a Roth IRA -- unlike a Traditional IRA, where you're no longer allowed to contribute past age 70. Not having to pay any taxes could save the theoretical investors in NerdWallet's report between $200,000 and $400,000 over a lifetime. Another important question iswhatto invest in. On top of keeping your money from winding up in the government's hands, new investors have to be able to trust the stock market once more. Stocks have returned an average of 8% historically, and there will certainly be periods, such as the Great Recession, where things get a bit bumpy and uncomfortable. However, the data doesn't lie. While past performance is no guarantee of future results, all 33 stock market corrections of 10% or more in theS&P 500between 1950 and 2014 were eventually erased by bull markets. Patience has historically paid off for long-term investors who pick out high-quality companies and hold them over the long run. It's also not a bad idea for younger investors to consider a more aggressive investment approach that focuses on growth stocks because they have such a long period of time to correct any investment mistakes. Allowing winners to run for decades at a time is a powerful tool that can eliminate quite a few bad stock selections. Budgeting is another important tool that today's grads are going to want to get themselves accustomed to. Far too few people have a good grasp on their cash flow, and if you don't understand how your expenses weigh on your income, then you'll have a very difficult time saving for your future. Developing a monthly budget should help boost your saving efficiency, and it'll still give you the ability to play around with the numbers to ensure you continue to live a fun life, even while budgeting for your future. Lastly, considermonetizing your hobbies. Today's Millennials really value their free time -- and their free time could actually be worth a boatload of money. Teaching guitar lessons, couponing to save at the grocery store, buying items at a garage sale then reselling them online, and pet sitting are all examples of personal hobbies that could turn into lucrative side businesses for today's grads. Plus, doing what you love certainly doesn't seem like work! Adding this extra cash to your monthly income stream could be the boost you need to move your retirement date forward. I believe there are a lot of variables left to play out between now and when today's grads hit 75. Following these suggestions could help get today's grads back on track to retiring on their own terms. The $15,978 Social Security bonus most retirees completely overlookIf you're like most Americans, you're a few years (or more) behind on your retirement savings. But a handful of little-known “Social Security secrets” could help ensure a boost in your retirement income. In fact, one MarketWatch reporter argues that if more Americans knew about this, the government would have to shell out an extra $10 billion annually. For example: one easy, 17-minute trick could pay you as much as $15,978 more... each year! Once you learn how to take advantage of all these loopholes, we think you could retire confidently with the peace of mind we're all after.Simply click here to discover how you can take advantage of these strategies. Sean Williamshas no material interest in any companies mentioned in this article. You can follow him on CAPS under the screen nameTMFUltraLong, track every pick he makes under the screen nameTrackUltraLong, and check him out on Twitter, where he goes by the handle@TMFUltraLong. The Motley Fool has no position in any of the stocks mentioned. Try any of our Foolish newsletter servicesfree for 30 days. We Fools may not all hold the same opinions, but we all believe thatconsidering a diverse range of insightsmakes us better investors. The Motley Fool has adisclosure policy. SPONSOR CONTENT: Forget the iPhone 6. Next Apple Sensation Leaked Forget the iPhone and the Apple Watch. Another revolutionary Apple technology is booming. According to Gartner Research, the market for this technology will soon be worth a whopping $721 billion! But you won't hear about this game-changer in front page headlines. Peeking under the hood reveals a more intriguing story about a little-known company that has cornered the market for the technology hidden in Apple's devices.Simply click here to learn its name. The Motley Fool is a USA TODAY content partner offering financial news, analysis and commentary designed to help people take control of their financial lives. Its content is produced independently of USA TODAY."
Buzzfeed.com,http://www.buzzfeed.com/jeepofficial/sayings-every-jeep-owner-lives-by#.icBLLKqEBQ,"It's a big world.Get out there in the All-NewJeep Renegadeand start making some adventures. All custom illustration © Isa D'Aniello / BuzzFeed. BuzzFeed HomeSitemap© 2020 BuzzFeed, Inc."
Buzzfeed.com,http://www.buzzfeed.com/scrubbingbubbles/bathroom-graffiti-or-published-poet?b=1#.ohynnZo5Yv,"Some of these quotes are legitimate poetry; some are scribbled on a bathroom wall. Can you tell the difference?Scrubbing Bubbleswants to talk about what goes on behind closed bathroom doors. Open up! Brand Publisher This is from Walt Whitman'sSong of Myself. Bathroom wall! Probably a pretty accurate statement, also. This is by a guy named Hughes Mearns from a poem he wrote calledAntigonish. Graffiti! Someone was getting a little emotional over the sink. We've all been there. 100% bathroom graffiti. And it's about pizza! Isn't that sweet. This one's obviously calledThe Emperor of Ice-Cream. Why wouldn't it be? Thank you, Wallace Stevens. Graffiti! Take a moment to let these wise words sink in. Published poetry! Ever hear of T.S. Eliot? He wrote this. It's calledThe Waste Land. Poetry. A New Englander by the name of Robert Frost penned this one. It's calledThe Death of the Hired Man, and it's a bit of a downer. Found on a bathroom wall. Clever. Bathroom! Look at this graffiti, acting like it knows you. More T.S. Eliot! This time,Portrait of a Lady. Graffiti. One has to wonder what might have gone unnoticed. This one's calledHere, ever since you went, and it's by a dude named Walter Savage Landor. His middle name issavage. That's awesome. Graffiti! Someone had a pumpkin sandwich and had to go write about it ASAP. All images from ThinkStock.All photography by Kristin Rossi / BuzzFeed"
